config_id,bar,feature_set,n_features,fit_scope,method,n_components,task,probe,metric,value,fit_seconds,n_eval,timestamp
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,lab_stress,logistic,auc,0.6641,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,lab_stress,knn,auc,0.7165,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,lab_depth_collapse,logistic,auc,0.5242,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,lab_depth_collapse,knn,auc,0.5779,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,lab_spread_widen,logistic,auc,0.5222,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,lab_spread_widen,knn,auc,0.5191,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,lab_vol_spike,logistic,auc,0.8225,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,lab_vol_spike,knn,auc,0.823,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,reg_fwdvol,ridge,r2,0.4681,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,reg_fwdvol,knn,r2,0.4932,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,reg_curvol,ridge,r2,0.4685,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,reg_curvol,knn,r2,0.4869,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,reg_relspread,ridge,r2,0.51,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,reg_relspread,knn,r2,0.5165,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,reg_intraday,ridge,r2,0.0601,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|PCA,5s,full,19,pooled,PCA,2,reg_intraday,knn,r2,0.0622,0.0,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,lab_stress,logistic,auc,0.5195,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,lab_stress,knn,auc,0.6858,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,lab_depth_collapse,logistic,auc,0.5333,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,lab_depth_collapse,knn,auc,0.5861,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,lab_spread_widen,logistic,auc,0.5033,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,lab_spread_widen,knn,auc,0.5288,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,lab_vol_spike,logistic,auc,0.5688,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,lab_vol_spike,knn,auc,0.7905,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,reg_fwdvol,ridge,r2,0.0811,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,reg_fwdvol,knn,r2,0.4409,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,reg_curvol,ridge,r2,0.0774,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,reg_curvol,knn,r2,0.4264,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,reg_relspread,ridge,r2,0.2871,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,reg_relspread,knn,r2,0.4156,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,reg_intraday,ridge,r2,-0.0016,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|KernelPCA_rbf,5s,full,19,pooled,KernelPCA_rbf,2,reg_intraday,knn,r2,0.0357,0.24,8000,2026-06-03 01:36:05
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,lab_stress,logistic,auc,0.5442,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,lab_stress,knn,auc,0.6923,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,lab_depth_collapse,logistic,auc,0.5389,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,lab_depth_collapse,knn,auc,0.589,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,lab_spread_widen,logistic,auc,0.5061,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,lab_spread_widen,knn,auc,0.5318,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,lab_vol_spike,logistic,auc,0.6458,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,lab_vol_spike,knn,auc,0.7563,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,reg_fwdvol,ridge,r2,0.1442,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,reg_fwdvol,knn,r2,0.3302,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,reg_curvol,ridge,r2,0.1382,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,reg_curvol,knn,r2,0.3205,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,reg_relspread,ridge,r2,0.4309,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,reg_relspread,knn,r2,0.466,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,reg_intraday,ridge,r2,0.0126,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn10,5s,full,19,pooled,Isomap_nn10,2,reg_intraday,knn,r2,0.0085,1.57,8000,2026-06-03 01:36:07
A|5s|full|nc2|Isomap_nn30,5s,full,19,pooled,Isomap_nn30,2,lab_stress,logistic,auc,0.528,2.38,8000,2026-06-03 01:36:10
